Depth (km), Temperature (K)
1.803005008347250993e+01,6.046445606338896823e+02
1.702838063439063276e+01,5.896312245506559293e+02
1.602671118530887284e+01,5.742165517933342471e+02
1.502504173622699390e+01,5.584005423619212252e+02
1.402337228714523398e+01,5.421831962564205014e+02
1.302170283806347229e+01,5.255645134768303706e+02
1.202003338898159512e+01,5.085444940231486157e+02
1.101836393989983520e+01,4.911231378953793865e+02
1.001669449081807350e+01,4.733004450935206364e+02
9.015025041736196343e+00,4.550764156175701487e+02
8.013355592654436421e+00,4.364510494675323571e+02
7.011686143572674723e+00,4.174243466434050447e+02
6.010016694490797562e+00,3.979963071451859378e+02
5.008347245409036752e+00,3.781669309728795838e+02
4.006677796327159591e+00,3.579362181264812648e+02
3.005008347245398781e+00,3.373041686059958693e+02
2.003338898163637971e+00,3.162707824114209529e+02
1.001669449081760810e+00,2.948360595427539579e+02
0.000000000000000000e+00,2.730000000000000000e+02
